,date,text,screen_name,followers_count,friends_count,retweet_count,favorite_count
88,2020-02-16 21:14:13,RT @bendreyfuss: It is so nuts that I can’t buy flavored Juul pods but I can buy cigarettes. What a dumbfucking country this is,Cernovich,551074,3027,79,0
89,2020-02-16 21:13:16,RT @PrisonPlanet: CNN/NY Times journo says coronavirus might have emerged from lab in Wuhan after someone was bitten by a bat during a test…,Cernovich,551074,3027,2788,0
90,2020-02-16 21:11:10,RT @Lukewearechange: Holy f*** I don’t want this type of future for my kids! People think before asking people to censor speech!!!  https:/…,Cernovich,551074,3027,1250,0
91,2020-02-16 21:02:55,Everyone should read this book. https://t.co/rYNtZbVV62 https://t.co/mgzd4fp7aZ,Cernovich,551074,3027,83,448
92,2020-02-16 20:57:48,"RT @EricRWeinstein: I deplore the canonical misunderstanding and misportrayal of this tweet. If they were true, I would condemn @RichardDaw…",Cernovich,551074,3027,124,0
93,2020-02-16 20:46:00,"RT @dkahanerules: When you've lost @ktumulty. Now do Mayor Pete, Karen. 

https://t.co/ol1NwYGX76",Cernovich,551074,3027,17,0
94,2020-02-16 20:44:28,RT @TPAIN: k so here’s wht happened. My dawg sent me the https://t.co/TXeVADVGNV link and instead of trying to take it down and hurt the pe…,Cernovich,551074,3027,15046,0
95,2020-02-16 20:40:53,RT @gatewaypundit: AMAZING! President Trump surprises Daytona crowd - Swoops down 800 ft. Over track before landing! ... Crowd Erupts!! @DI…,Cernovich,551074,3027,6907,0
96,2020-02-16 20:40:48,"RT @EdLatimore: Due to battling this super sickness and my 103+ fever (which I went to the hospital for), yesterday was the first day in qu…",Cernovich,551074,3027,53,0
97,2020-02-16 20:36:50,RT @tedfrank: Hilarious how many Bloomberg scandals are him speaking truth to power.,Cernovich,551074,3027,120,0
98,2020-02-16 20:34:44,RT @HailieDeegan: Goal complete ✔️ @POTUS https://t.co/Y99m0mr2OA,Cernovich,551074,3027,15181,0
99,2020-02-16 20:32:29,"RT @ForAmerica: NASCAR driver @ClintBowyer on @realDonaldTrump leading the field at #Daytona500, ""He's gonna pace the field? Ha ha, love it…",Cernovich,551074,3027,2842,0
100,2020-02-16 20:31:25,"RT @nntaleb: Aside from how morally disgusting (science journalist &amp; BS vendor) @RichardDawkins is, he doesn't get dimensionality, complexi…",Cernovich,551074,3027,719,0
101,2020-02-16 20:27:42,"RT @NYCNavid: “In the Babylonian zodiac, it became the symbol of the victory of the sun. Just as Jesus is called the Lion of Judah.” https:…",Cernovich,551074,3027,7,0
102,2020-02-16 20:27:31,"RT @sidchat1: When we defeat the scourge of preventable maternal &amp; child deaths, we set the foundation for achieving Universal Health Cover…",Cernovich,551074,3027,39,0
103,2020-02-16 20:27:19,"RT @Surabees: Prediction: Mike Bloomberg will find out the hard way that unlimited money without a coherent message, enthused base, or an o…",Cernovich,551074,3027,627,0
104,2020-02-16 20:24:37,RT @primalpoly: @RichardDawkins Mate choice is just intuitive eugenics.,Cernovich,551074,3027,82,0
105,2020-02-16 20:24:17,"RT @charlesmurray: Having tweeted that Francis Galton was a polymath and genius (inarguable, IMO) and gotten a barrage of responses about G…",Cernovich,551074,3027,48,0
106,2020-02-16 20:21:12,"RT @Boomieleaks: Woman: ""I'd like a sperm donor who's tall, smart, and healthy.""

*doctor punches woman*

Doctor: ""Only nazis support eugen…",Cernovich,551074,3027,1354,0
107,2020-02-16 20:15:42,"RT @SteveGuest: Now this is how you make an entrance.

@realDonaldTrump in Air Force 1 800 feet above the racetrack before he is set to be…",Cernovich,551074,3027,7986,0
108,2020-02-16 20:15:26,RT @YesThatAnna: So a polyromantic genderqueer named Ezra killed the boyfriend xie acted like a girl with because he found out xie lied abo…,Cernovich,551074,3027,214,0
109,2020-02-16 19:58:06,"RT @brithume: Not for lack of lies: “To throw the scent off himself after carefully arranging the leak, McCabe dressed down the FBI’s two p…",Cernovich,551074,3027,12878,0
110,2020-02-16 19:57:06,"RT @SteveGuest: The Beast carrying @realDonaldTrump has rolled onto the racetrack. 

#DAYTONA500 https://t.co/mA0ZiDTOdB",Cernovich,551074,3027,4237,0
111,2020-02-16 19:55:35,"RT @ggreenwald: These videos showing the mechanized, clinical, systematic extinguishing of animal life are more horrific to me than the one…",Cernovich,551074,3027,2109,0
112,2020-02-16 19:55:11,RT @ComfortablySmug: IT'S HAPPENING https://t.co/M8ncfjbiHa,Cernovich,551074,3027,1154,0
113,2020-02-16 19:55:09,RT @HolmesJosh: The beast hot lap is one of the top 5 ideas presidential advance has ever executed.,Cernovich,551074,3027,1515,0
114,2020-02-16 06:33:55,RT @ogrods: Lol https://t.co/QX5hwBi80C,Cernovich,551074,3027,33800,0
115,2020-02-16 06:33:17,"Bloomberg v Trump isn’t the clash of the titans we wanted or asked for, but maybe it’s what we deserve.",Cernovich,551074,3027,53,458
116,2020-02-16 06:32:06,RT @alx: I’m in tears 😂 https://t.co/xrKWquVQ6Z,Cernovich,551074,3027,7231,0
117,2020-02-16 06:31:45,@_YvonneBurton I wouldn’t know where to find such content,Cernovich,551074,3027,2,17
118,2020-02-16 06:29:43,RT @JoseAntonioPhD: Study links habitual coffee consumption with stronger bones https://t.co/iUseNVKOEf,Cernovich,551074,3027,145,0
119,2020-02-16 06:28:17,"RT @Leighandbrown: @Aussie_Mosley @Cernovich Actual hand painting! Mixed media... graphite, charcoal, acrylic, gouache and pastel. I'm old…",Cernovich,551074,3027,5,0
120,2020-02-16 06:25:52,There is a lot of OFFENSIVE content on the internet. I disavow all of it. Be careful!,Cernovich,551074,3027,29,245
121,2020-02-16 05:28:41,RT @SopanDeb: This is exactly what I mean. This dunk is outstanding and incredibly difficult. Doesn’t get mentioned as an upper echelon dun…,Cernovich,551074,3027,21,0
122,2020-02-16 05:24:39,RT @KerryPicket: Undocumented immigrant who threatened NYPD cops expected to be deported https://t.co/vTFmYzCmXo via @nypmetro,Cernovich,551074,3027,97,0
123,2020-02-16 05:12:14,This is the good stuff https://t.co/FILG4m24cb,Cernovich,551074,3027,14,97
124,2020-02-16 05:11:04,Artwork by @Leighandbrown https://t.co/Do023LVp4e,Cernovich,551074,3027,12,241
125,2020-02-16 05:03:28,RT @ScottAdamsSays: Trump does both of those jobs. Just saying.,Cernovich,551074,3027,799,0
126,2020-02-16 04:49:19,"@JoeySalads @CassandraRules Yeah there’s no win in this situation for Shapiro. Why do you think Shapiro keeps challenging AOC to debates? Big win for him, AOC gains nothing.",Cernovich,551074,3027,8,47
127,2020-02-16 04:36:53,"RT @adamscrabble: 🎼Hare Krishna, my last Thursday, so rocking, enjoy this little bit of it https://t.co/9ug4Y1dIYn",Cernovich,551074,3027,5,0
128,2020-02-16 04:32:02,Every million buys an inch. https://t.co/qANLnVss5u,Cernovich,551074,3027,13,71
129,2020-02-16 04:29:13,"RT @IWashington: Lean into it and baste with as much Garlic, Thyme and Goat Milk Butter as possible...#IsaiahWashingtonKitchenTalk https://…",Cernovich,551074,3027,33,0
