DBN,SCHOOL NAME,PSAL Program Code,PSAL Program Name,
12X446,Arturo A. Schomburg Satellite Academy Bronx,02461,Arturo A. Schomburg Satellite Academy Bronx,
23K646,Aspirations Diploma Plus High School,23646,Aspirations Diploma Plus High School,
84K395,New Visions A.I.M. Charter High School I,23646,Aspirations Diploma Plus High School,
27Q400,August Martin High School,27540,August Martin High School,
84Q320,New Visions Charter High School for Advanced Math,27540,August Martin High School,
14K610,Automotive High School,14547,Automotive High School,
14K923,Automotive High School Yabc,14547,Automotive High School,
24Q610,Aviation Career & Technical Education High School,24535,Aviation Career & Technical Education High School,
13K412,Brooklyn Community Arts & Media High School (BCAM),14546,BCAM H. S.,
13K616,Brooklyn High School for Leadership and Community,14546,BCAM H. S.,
30Q580,Baccalaureate School for Global Education,30540,Baccalaureate School For Global Education,
01M696,Bard High School Early College,01569,Bard High School Early College,
02M411,Baruch College Campus High School,02875,Baruch College Campus High School,
09X241,Urban Assembly School for Applied Math and Science,09263,Bathgate Educational Complex,
09X252,Mott Hall Bronx High School,09263,Bathgate Educational Complex,
09X263,Validus Preparatory Academy,09263,Bathgate Educational Complex,
02M313,"James Baldwin School, The: A School for Expedition",02582,Bayard Rustin Educational Complex,
02M392,MANHATTAN BUSINESS ACADEMY,02582,Bayard Rustin Educational Complex,
02M419,Landmark High School,02582,Bayard Rustin Educational Complex,
02M422,Quest to Learn,02582,Bayard Rustin Educational Complex,
02M437,Hudson High School of Learning Technologies,02582,Bayard Rustin Educational Complex,
02M605,Humanities Preparatory Academy,02582,Bayard Rustin Educational Complex,
26Q495,Bayside High School,26503,Bayside High School,
27Q262,Channel View School for Research,27501,Beach Channel Educational Campus,
27Q324,Rockaway Park High School for Environmental Sustai,27501,Beach Channel Educational Campus,
27Q351,Rockaway Collegiate High School,27501,Beach Channel Educational Campus,
75Q256,P.S. Q256,27501,Beach Channel Educational Campus,
84Q373,New Visions Charter High School for the Humanities,27501,Beach Channel Educational Campus,
03M479,Beacon High School,03300,Beacon High School,
13K595,Bedford Academy High School,13595,Bedford Academy High School,
13K670,Benjamin Banneker Academy,13350,Benjamin Banneker Academy,
14K614,Young Women's Leadership School of Brooklyn,13350,Benjamin Banneker Academy,
26Q415,Benjamin N. Cardozo High School,26505,Benjamin N. Cardozo High School,
15K429,Digital Arts and Cinema Technology High School,15567,Boerum Hill School & Digital Tech,
15K497,The Boerum Hill School for International Studies,15567,Boerum Hill School & Digital Tech,
13K499,ACORN Community High School,16502,Boys and Girls High School,
16K455,Boys and Girls High School,16502,Boys and Girls High School,
